epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,917.846,1.33532,1.36134,1.71846,0.66911,0.69421,0.71996,0.41662,1.39751,1.24579,1.83161,0.00141196,0.00141196,0.00141196
58,932.435,1.32823,1.33031,1.70724,0.63852,0.68855,0.7121,0.42432,1.36705,1.2026,1.81649,0.00141135,0.00141135,0.00141135
59,947.031,1.32071,1.28666,1.68625,0.47443,0.56214,0.47815,0.24465,1.60151,1.79604,2.02051,0.00141073,0.00141073,0.00141073
60,961.564,1.33474,1.32263,1.70691,0.65757,0.67495,0.67342,0.40605,1.37186,1.30079,1.77541,0.0014101,0.0014101,0.0014101
61,976.086,1.31015,1.30181,1.68494,0.62434,0.63661,0.65659,0.37873,1.4366,1.47829,1.85861,0.00140946,0.00140946,0.00140946
62,990.589,1.30208,1.28487,1.69261,0.51199,0.64683,0.55793,0.32031,1.45553,1.7968,1.87648,0.0014088,0.0014088,0.0014088
63,1005.13,1.26513,1.22424,1.64369,0.66547,0.72428,0.73298,0.44046,1.33436,1.17335,1.77658,0.00140814,0.00140814,0.00140814
64,1019.7,1.29615,1.23958,1.66111,0.69883,0.66231,0.71724,0.43237,1.3962,1.26073,1.82095,0.00140746,0.00140746,0.00140746
65,1034.21,1.2751,1.23468,1.66312,0.68743,0.7131,0.73701,0.43543,1.40389,1.19111,1.85377,0.00140678,0.00140678,0.00140678
66,1048.75,1.2741,1.2339,1.6538,0.61954,0.68291,0.68562,0.41167,1.38738,1.21567,1.81518,0.00140608,0.00140608,0.00140608
67,1063.28,1.25259,1.22273,1.62576,0.66868,0.77787,0.74567,0.46315,1.33278,1.14627,1.76709,0.00140537,0.00140537,0.00140537
68,1077.81,1.26096,1.22329,1.64377,0.68681,0.74363,0.76177,0.47343,1.33136,1.13111,1.7594,0.00140466,0.00140466,0.00140466
69,1092.44,1.24716,1.20432,1.6284,0.55642,0.67909,0.61462,0.36731,1.37493,1.32818,1.81408,0.00140393,0.00140393,0.00140393
70,1106.94,1.23377,1.18378,1.6164,0.7114,0.75008,0.74558,0.45796,1.33169,1.20508,1.76759,0.00140319,0.00140319,0.00140319
71,1121.52,1.24045,1.16438,1.60421,0.64061,0.73586,0.72162,0.43216,1.33762,1.19106,1.78712,0.00140244,0.00140244,0.00140244
72,1136.15,1.21956,1.14171,1.59141,0.69606,0.70142,0.70654,0.42949,1.33128,1.15119,1.75398,0.00140168,0.00140168,0.00140168
73,1150.95,1.20598,1.1238,1.57805,0.67344,0.74199,0.72446,0.45424,1.28743,1.08898,1.70892,0.00140091,0.00140091,0.00140091
74,1184.02,1.20813,1.1307,1.58321,0.65811,0.69825,0.67085,0.39914,1.40486,1.37116,1.80669,0.00140013,0.00140013,0.00140013
75,1230.74,1.21756,1.14422,1.5889,0.75165,0.62442,0.71235,0.43421,1.37221,1.26007,1.79898,0.00139934,0.00139934,0.00139934
76,1245.27,1.22231,1.12365,1.59074,0.57381,0.5048,0.49912,0.30594,1.51752,2.35256,1.96962,0.00139854,0.00139854,0.00139854
77,1272.98,1.213,1.10911,1.57708,0.76221,0.70919,0.77033,0.4693,1.33679,1.13107,1.75835,0.00139773,0.00139773,0.00139773
78,1306.7,1.21125,1.102,1.56873,0.68238,0.70619,0.71773,0.44693,1.30717,1.15391,1.72895,0.00139691,0.00139691,0.00139691
79,1321.32,1.18785,1.08682,1.55726,0.64775,0.71509,0.68173,0.38655,1.44726,1.26143,1.89303,0.00139608,0.00139608,0.00139608
80,1336.6,1.21972,1.07842,1.57845,0.66928,0.77149,0.7657,0.48188,1.27304,1.15093,1.70566,0.00139523,0.00139523,0.00139523
81,1351.3,1.19577,1.08765,1.57393,0.71257,0.75348,0.74059,0.44738,1.36589,1.16563,1.81052,0.00139438,0.00139438,0.00139438
82,1366.09,1.16855,1.04712,1.54068,0.70698,0.6982,0.74592,0.44944,1.36693,1.16036,1.78474,0.00139352,0.00139352,0.00139352
83,1380.6,1.21269,1.06068,1.56688,0.7666,0.79891,0.83991,0.51514,1.29842,0.97011,1.72694,0.00139264,0.00139264,0.00139264
84,1395.18,1.1999,1.07113,1.57851,0.75032,0.77941,0.8248,0.51374,1.26241,0.97989,1.70019,0.00139176,0.00139176,0.00139176
85,1409.7,1.14297,1.0137,1.51917,0.70226,0.77687,0.77808,0.4854,1.26945,1.09364,1.66837,0.00139086,0.00139086,0.00139086
86,1424.47,1.1665,1.03112,1.53455,0.73365,0.74868,0.79163,0.48088,1.32508,1.02144,1.70978,0.00138996,0.00138996,0.00138996
87,1439.75,1.1822,1.03885,1.54635,0.77793,0.79078,0.82989,0.51378,1.29101,0.96072,1.70308,0.00138904,0.00138904,0.00138904
88,1454.53,1.16405,1.01475,1.54452,0.80829,0.76548,0.85554,0.55133,1.23161,0.91401,1.644,0.00138812,0.00138812,0.00138812
89,1469.38,1.15879,1.03514,1.52681,0.81174,0.75966,0.83053,0.53644,1.22015,0.899,1.64866,0.00138718,0.00138718,0.00138718
90,1483.9,1.15429,1.02022,1.52446,0.75189,0.73567,0.80777,0.5214,1.22158,0.93887,1.62562,0.00138624,0.00138624,0.00138624
91,1498.43,1.13287,0.9948,1.50638,0.80634,0.79133,0.84635,0.5544,1.20976,0.87422,1.62761,0.00138528,0.00138528,0.00138528
92,1513.02,1.12783,0.96475,1.49708,0.78881,0.76825,0.81709,0.51502,1.26363,0.96172,1.63358,0.00138431,0.00138431,0.00138431
93,1527.77,1.14743,0.98384,1.51892,0.64459,0.82291,0.77255,0.4812,1.26414,1.11765,1.69868,0.00138334,0.00138334,0.00138334
94,1542.43,1.14288,0.97001,1.5101,0.79792,0.72903,0.81235,0.50353,1.37211,1.02228,1.70059,0.00138235,0.00138235,0.00138235
95,1557.09,1.14188,1.00135,1.50145,0.74643,0.77636,0.81813,0.5072,1.26961,0.94113,1.67906,0.00138135,0.00138135,0.00138135
96,1571.88,1.14115,0.98929,1.52024,0.78051,0.82097,0.86128,0.55139,1.23871,0.86749,1.63282,0.00138034,0.00138034,0.00138034
97,1632.13,1.11898,0.97378,1.48223,0.69981,0.78772,0.81106,0.51398,1.23088,1.0309,1.61731,0.00137933,0.00137933,0.00137933
98,1646.71,1.11825,0.96708,1.48057,0.78316,0.83689,0.86126,0.54443,1.25471,0.8537,1.61801,0.0013783,0.0013783,0.0013783
99,1661.31,1.09057,0.94421,1.47034,0.74404,0.76312,0.82716,0.5184,1.23702,1.00324,1.68575,0.00137726,0.00137726,0.00137726
100,1676.17,1.09495,0.93465,1.46267,0.82427,0.74999,0.85622,0.55896,1.17909,0.86424,1.59477,0.00137621,0.00137621,0.00137621
101,1690.76,1.09487,0.92194,1.46749,0.73016,0.70679,0.76403,0.46019,1.31223,1.06113,1.75042,0.00137516,0.00137516,0.00137516
102,1705.74,1.09541,0.921,1.47009,0.82431,0.75057,0.82174,0.54159,1.17188,0.95503,1.57491,0.00137409,0.00137409,0.00137409
103,1720.39,1.08384,0.92065,1.45544,0.77483,0.78735,0.82441,0.53095,1.22589,0.97707,1.656,0.00137301,0.00137301,0.00137301
104,1734.93,1.09639,0.95854,1.4736,0.80131,0.78179,0.85074,0.55065,1.21466,0.89091,1.61205,0.00137192,0.00137192,0.00137192
105,1749.73,1.10189,0.9575,1.47263,0.83632,0.75446,0.84723,0.55433,1.1973,0.87971,1.59995,0.00137082,0.00137082,0.00137082
106,1764.66,1.09371,0.92053,1.46087,0.78117,0.7339,0.81811,0.51953,1.2721,0.95938,1.67149,0.00136972,0.00136972,0.00136972
107,1779.34,1.09032,0.92569,1.46349,0.72512,0.71829,0.75112,0.476,1.26755,1.14567,1.71667,0.0013686,0.0013686,0.0013686
108,1793.95,1.07433,0.90211,1.44711,0.77637,0.76861,0.80685,0.5389,1.18337,0.93141,1.58167,0.00136747,0.00136747,0.00136747
109,1808.5,1.06435,0.87499,1.44569,0.74455,0.74702,0.78918,0.51139,1.19278,0.9724,1.62275,0.00136633,0.00136633,0.00136633
110,1823.16,1.07207,0.88589,1.43652,0.77729,0.82732,0.85396,0.55429,1.18285,0.85461,1.628,0.00136518,0.00136518,0.00136518
